resultid,raceid,driverid,constructorid,grid,positionorder,points,laps,fastestlaptime,fastestlapspeed,year,round,circuitid,rainfall,airtemp,humidity,pressure,tracktemp,windspeed
23782,989,20,6,3,1,25.0,58,1:26.469,220.782,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23783,989,1,131,1,2,18.0,58,1:26.444,220.845,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23784,989,8,6,2,3,15.0,58,1:26.373,221.027,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23785,989,817,9,8,4,12.0,58,1:25.945,222.128,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23786,989,4,1,10,5,10.0,58,1:26.978,219.489,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23787,989,830,9,4,6,8.0,58,1:26.880,219.737,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23788,989,807,4,7,7,6.0,58,1:27.081,219.230,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23789,989,822,131,15,8,4.0,58,1:27.019,219.386,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23790,989,838,1,11,9,2.0,58,1:26.958,219.540,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23791,989,832,4,9,10,1.0,58,1:27.944,217.079,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23792,989,815,10,12,11,0.0,58,1:27.633,217.849,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23793,989,839,10,14,12,0.0,58,1:27.600,217.931,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23794,989,844,15,18,13,0.0,58,1:28.759,215.085,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23795,989,840,3,13,14,0.0,58,1:28.511,215.688,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23796,989,843,5,16,15,0.0,57,1:28.176,216.507,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23797,989,154,210,6,16,0.0,24,1:28.805,214.974,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23798,989,825,210,5,17,0.0,22,1:29.534,213.224,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23799,989,842,5,20,18,0.0,13,1:30.649,210.601,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23800,989,828,15,17,19,0.0,5,1:32.210,207.036,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23801,989,845,3,19,20,0.0,4,1:32.573,206.224,2018,1,1,True,24.077477477477476,30.915315315315315,997.0036036036036,36.32432432432432,3.691891891891892
23802,990,20,6,1,1,25.0,57,1:34.453,206.274,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23803,990,822,131,3,2,18.0,57,1:33.740,207.842,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23804,990,1,131,9,3,15.0,57,1:33.953,207.371,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23805,990,842,5,5,4,12.0,57,1:34.863,205.382,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23806,990,825,210,6,5,10.0,57,1:34.327,206.549,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23807,990,807,4,7,6,8.0,57,1:34.667,205.807,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23808,990,4,1,13,7,6.0,56,1:34.168,206.898,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23809,990,838,1,14,8,4.0,56,1:35.131,204.803,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23810,990,828,15,17,9,2.0,56,1:35.093,204.885,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23811,990,839,10,8,10,1.0,56,1:35.043,204.993,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23812,990,832,4,10,11,0.0,56,1:35.535,203.937,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
23813,990,844,15,19,12,0.0,56,1:35.075,204.924,2018,2,3,False,27.982524271844657,47.363106796116504,1009.4941747572815,32.19805825242719,0.958252427184466
